cardinal,total_sibs,birth_order,source
"(49) 1. VANNUTELLI, Serafino",,,
"(13) 9. GONZAGA, Sigismondo (1469-1525)",6,3,fiu_scrape
"(8) 1. FLEURY, André-Hercule de (1653-1743)",11,3,fiu_scrape
"(1) 1. PAMPHILJ, Camillo Francesco Maria (1622-1666)","","",fiu_scrape
"(2) 2. MELZI, Camillo (1582-1659)","","",fiu_scrape
"(6) 2. MARQUEMONT, Denis-Simon de (1572-1626)","","",fiu_scrape
"(38) 30. PISANI, Francesco (1494-1570)",8,7,fiu_scrape
"(8) 8. ROY, Maurice",3,,
"(67) 1. BOURBON-VENDÔME, Charles II de (1523-1590)","",5,fiu_scrape
"(13) 13. EZZATI ANDRELLO, S.D.B., Ricardo","","",fiu_scrape
"(103) 18. KOREC, S.J., Ján Chryzostom",,3,
(1631-1693),"","",fiu_scrape
"(33) 3. VISCONTI, Vitaliano (1618-1671)","","",fiu_scrape
"(25) 2. PARENTUCELLI, Tommaso (1397-1455)","","",fiu_scrape
"(20) 4. KÜNBURG, Maximilian Gandolph von (1622-1687)","","",fiu_scrape
"(132) 2. MARTINELLI, O.E.S.A., Sebastiano",,,
"(143) 6. DE GIORGI, Salvatore",8,3,
"(21) 1. BAYERN, Philipp Wilhelm von (1576-1598)",10,5,fiu_scrape
"(13) 10. OLEŚNICY, Zbigniew z (1389-1455)","","",fiu_scrape
"(50) 1. CARANDINI, Filippo (1729-1810)",9,5,fiu_scrape
"(16) 2. CRESCENZI, C.R.S., Alessandro (1607-1688)","","",fiu_scrape
"(28) 13. MARTINI, S.J., Carlo Maria",,2,
"(38) 1. DESPUIG Y DAMETO, Antonio (1745-1813)",8,,
"(38) 23. BETTI, O.F.M., Umberto","","",fiu_scrape
"(15) 15. O'HARA, C.S.C., John Francis",8,4,
"BROGLIE, Charles de (1733-1777)",6,4,fiu_scrape
"(18) 5. MANCINI, Francesco Maria (1606-1672)",>1,"",fiu_scrape
"(2) 1. BARBERINI, seniore, O.F.M.Cap., Antonio (1569-1646)","",>1,fiu_scrape
"(16) 7. GIUSTINIANI, Benedetto (1554-1621)",5,1,fiu_scrape
"(49) 10. FARRELL, Kevin Joseph",4,2,fiu_scrape
"(6) 5. ROSSI, Ippolito de' (1531-1591)","",3,fiu_scrape
"(7) 3. TARUGI, Orat., Francesco Maria (1525-1608)",3,3,fiu_scrape
"(7) 7. SALIÈGE, Jules-Géraud",5,4,
"(87) 3. THOTTUNKAL, Baselios Cleemis","","",fiu_scrape
"(56) 18. NYCZ, Kazimierz",3,1,
"(3) 3. MÜLLER, Gerhard Ludwig",4,"",fiu_scrape
"(59) 4. SOLÍS FOLCH DE CARDONA, Francisco de (1713-1775)",>1,"",fiu_scrape
"(17) 13. LORRAINE-VAUDÉMONT, Nicolas François de (1609-1670)","","",fiu_scrape
"(56) 6. ROMA, Giulio (1584-1652)",16,4,fiu_scrape
"(52) 2. BENTIVOGLIO, Guido (1579-1644)",8,1,fiu_scrape
"(13) 13. SACCHETTI, Urbano (1640-1705)","","",fiu_scrape
"(3) 2. ORSINI, Latino (ca. 1410-1477)","",4,fiu_scrape
"(8) 4. GIUSTINIANI, Orat., Orazio (1578-1649)",7,"",fiu_scrape
"(46) 7. COLONNA PAMPHILI, Pietro (1725-1780)",16,5,fiu_scrape
"(43) 4. BRANCIFORTE COLONNA, Antonio (1711-1786)","","",fiu_scrape
"(15) 7. SELLERI, O.P., Gregorio (1654-1729)","","",fiu_scrape
"(12) 12. POZZOBONELLI, Giuseppe (1696-1783)",4,"",fiu_scrape
"(30) 1. PIERBENEDETTI, Mariano (1538-1611)",>3,"",fiu_scrape
"(74) 20. KIM, Stephen Sou-hwan",8,8,
"(22) 1. CONTI, Michelangelo (1655-1724)","",2,fiu_scrape
"(69) 18. BOETTO, S.J., Pietro",6,,
"(13) 5. FINY, Francesco Antonio (1669-1743)","","",fiu_scrape
"(33) 1. CORIO, Marcellino (1664-1742)",3,1,fiu_scrape
"(55) 17. ASSIS, Raymundo Damasceno",10,,
"(12) 12. BRANCATI, O.F.M.Conv., Lorenzo (1612-1693)","","",fiu_scrape
"(2) 2. BALDISSERI, Lorenzo",5,5,fiu_scrape
"(41) 6. MACIEJOWSKI, Bernard (1548-1608)","","",fiu_scrape
"(12) 8. LORRAINE DE VAUDÉMONT, Charles II de (1561-1587)",>1,"",fiu_scrape
"(24) 5. FILONARDI, Filippo (1582-1622)",>2,"",fiu_scrape
"(181) 22. NAPIER, O.F.M., Wilfrid Fox",7,,
"(14) 4. SALVIATI, Gregorio (1722-1794)",6,2,fiu_scrape
"(14) 14. HEENAN, John Carmel",4,4,
"(199) 40. TUCCI, S.J., Roberto",,,
"(137) 7. PUZYNA, Jan",4,,
"(10) 10. MCCANN, Owen",,,
"(30) 12. SAVELLI, Paolo (1622-1685)","","",fiu_scrape
"(149) 12. PENGO, Polycarp",9,,
"(18) 15. FURIETTI, Giuseppe Alessandro (1684-1764)","","",fiu_scrape
"(16) 16. LANGLOIS, Chibly",4,1,fiu_scrape
"(49) 2. MENDOZA DE BOBADILLA, Francisco (1508-1566)","","",fiu_scrape
"(19) 2. KOLLONITSCH, Sigismund von (1677-1751)",7,7,fiu_scrape
"(18) 18. DÖPFNER, Julius",4,,
"(25) 9. CICERI, Carlo Stefano Anastasio (1616/1619-1694)","","",fiu_scrape
"(2) 2. SPINOLA, Agostino (ca. 1482-1537)",6,1,fiu_scrape
"(85) 31. NASALLI ROCCA DI CORNELIANO, Mario",4,4,
"(14) 14. RUFFO, Antonio Maria (1687-1753)",6,4,fiu_scrape
"(2) 1. CAETANI, Antonio (1566-1624)",7,"",fiu_scrape
"(7) 1. VISCONTI, Antonio Eugenio (1713-1788)","",>1,fiu_scrape
"(12) 3. XAVIERRE, O.P., Jerónimo (1546-1608)",>4,"",fiu_scrape
"(24) 24. GRIFFIN, Bernard William",5,,
"(90) 6. TAGLE, Luis Antonio Gokim","","",fiu_scrape
"(33) 14. GOMES FURTADO, Arlindo","",4,fiu_scrape
"(9) 7. CAMPEGGIO, Alessandro (1504-1554)",5,"",fiu_scrape
"(52) 7. MACULANI, O.P., Vincenzo (1578-1667)","","",fiu_scrape
"(4) 4. AGNIFILI, Amico (ca. 1398-1476)","","",fiu_scrape
"(50) 5. CESI, iuniore, Pierdonato (ca. 1583-1656)","","",fiu_scrape
"(14) 2. ZELADA, Francesco Saverio de (1717-1801)","","",fiu_scrape
"(56) 2. SCHERER, Alfredo Vicente",,2,
"(227) 26. OUELLET, P.S.S., Marc",8,,
"(45) 8. MALVEZZI, Vincenzo (1715-1775)",2,2,fiu_scrape
"(218) 17. BERTONE, S.D.B., Tarcisio",8,5,
"(59) 1. RICHARD DE LA VERGNE, François-Marie-Benjamin",11,,
"(50) 3. SCOTTI, Bernardino (1656-1726)","","",fiu_scrape
"(42) 19. COMMENDONE, Gianfrancesco (1523-1584)",4,1,fiu_scrape
"(17) 3. ROCCI, Bernardino (1627-1680)",>2,"",fiu_scrape
"(6) 3. BEAUFORT, Henry (ca. 1374/1375-1447)",4,2,fiu_scrape
"(33) 5. ORSINI, Giovanni Battista (before 1450-1503)",8,3,fiu_scrape
"(4) 4. GONZAGA, Ercole (1505-1563)",8,6,fiu_scrape
"(49) 11. RAVASI, Gianfranco",3,1,
"(76) 22. SALES, Eugênio de Araújo",>1,,
"(36) 3. ALBIZZI, Francesco (1593-1684)",5,4,fiu_scrape
"(5) 4. FORBIN DE JANSON, Toussaint de (1631-1713)","",3,fiu_scrape
"(75) 3. SALM-REIFFERSCHEIDT, Franziskus Xaver von (1749-1822)",10,,
"(46) 9. MATTEI, Luigi (1702-1758)",7,1,fiu_scrape
"(1) 1. LAMBRUSCHINI, C.R.S.P., Luigi (1776-1854)",,,
"(145) 8. ROUCO VARELA, Antonio María",4,,https://en.wikipedia.org/wiki/Antonio_Mar%C3%ADa_Rouco_Varela
"(7) 7. CENCI, seniore, Baldassare (1648-1709)",5,5,fiu_scrape
"(39) 13. PRIULI, Luigi (1650-1720)",8,2,fiu_scrape
"(20) 20. MONTI, Filippo Maria (1675-1754)","",2,fiu_scrape
"(34) 6. CAMBACÉRÈS, Étienne-Hubert de (1756-1818)",11,>1,
"(110) 3. POGGI, Luigi",6,,
"(6) 2. PRIULI, Lorenzo (1537-1600)",5,3,fiu_scrape
"(16) 2. D'ELCI, Francesco (1707-1787)",7,2,fiu_scrape
"(12) 12. YEOM SOO JUNG, Andrew",6,4,fiu_scrape
(1640-1706),"","",fiu_scrape
(1629-1713),6,1,fiu_scrape
"(12) 9. LANDRIANI CAPITANI, Gerardo (probably at the end of the 14th century-1445)",>3,"",fiu_scrape
"(2) 1. CUNHA, Can. Reg. of Saint Augustine, João Cosme da (1715-1783)","","",fiu_scrape
"(79) 18. TUMI, Christian Wiyghan",7,4,
"(23) 5. GHILINI, Tommaso Maria (1718-1787)",6,6,fiu_scrape
"(11) 11. CONFALONIERI, Carlo",,4,
"(74) 17. ESTAMPES DE VALENÇAY, Achille d' (1593-1646)",>4,"",fiu_scrape
"(56) 9. CESI, Federico (1500-1565)","","",fiu_scrape
"(70) 1. CIENFUEGOS VILLAZÓN, S.J., Álvaro (1657-1739)",5,"",fiu_scrape
"(124) 7. MATHIEU, François-Désiré",>1,,
"(10) 10. SFONDRATI, O.S.B., Celestino (1644-1696)","","",fiu_scrape
"(32) 12. BORROMEO, seniore, Giberto (1615-1672)",3,1,fiu_scrape
"(21) 18. GANGANELLI, O.F.M. Conv., Lorenzo (1705-1774)",4,2,fiu_scrape
"(22) 14. PONZETTI, Ferdinando (1444-1527)","","",fiu_scrape
"(6) 5. CESARINI, iuniore, Giuliano (1466-1510)","","",fiu_scrape
"(42) 3. OSORO SIERRA, Carlos",3,1,fiu_scrape
"(65) 1. GUISE DE LORRAINE, Charles I de (1524-1574)",>1,>1,fiu_scrape
"(4) 2. REZZONICO, Giovanni Battista (1740-1783)",5,4,fiu_scrape
"(20) 1. CARAFA, Decio (1556-1626)",5,1,fiu_scrape
"(25) 7. PALUZZI ALTIERI DEGLI ALBERTONI, Paluzzo (1623-1698)",2,1,fiu_scrape
"(9) 2. CHALLANT, Antonio de (ca. 1350-1418)",>2,"",fiu_scrape
"(61) 20. LANTE, Alessandro (1762-1818)",,,
"(17) 2. BASSO DELLA ROVERE, Girolamo (1434-1507)","","",fiu_scrape
"(75) 14. NEVES, O.P., Lucas Moreira",10,1,
"(42) 26. MEDICI, Francesco Maria de' (1660-1711)",4,4,fiu_scrape
"(65) 3. HARDJOATMODJO, Ignatius Suharyo",10,7,fiu_scrape
"(14) 1. LA TRÉMOILLE, Jean-François de (1465/1470-1507)",>1,>1,fiu_scrape
"(25) 6. CRESCENZI, Pier Paolo (1572-1645)",>3,"",fiu_scrape
"(175) 16. RUBIANO SÁENZ, Pedro",6,4,https://en.wikipedia.org/wiki/Pedro_Rubiano_S%C3%A1enz
"(53) 8. PERETTI DI MONTALTO, Francesco (1595-1655)","","",fiu_scrape
"(10) 2. SINCERO, Luigi",>2,,
"(28) 1. PÁZMÁNY, S.J., Péter (1570-1637)","","",fiu_scrape
"(37) 3. VENDÔME, Louis de (1612-1669)","","",fiu_scrape
"(18) 4. SPADA, Fabrizio (1643-1717)",>1,2,fiu_scrape
"(10) 10. GODFREY, William",>1,>1,
"(2) 2. PORTUGAL, Jaime de (1433-1459)",6,3,fiu_scrape
"(3) 3. CARPEGNA, Gasparo (1625-1714)",>1,"",fiu_scrape
"(6) 2. LA BAUME, Claude de (1534-1584)","",2,fiu_scrape
"(4) 2. NARDINI, Stefano (about 1420-1484)",4,"",fiu_scrape
"(5) 4. PIATTI, Flaminio (1550 or 1552-1611)","","",fiu_scrape
"(20) 1. ASTALLI-PAMPHILJ, Camillo (1616 or 1619-1663)","","",fiu_scrape
"(62) 4. BENTIVOGLIO, Cornelio (1668-1732)",7,5,fiu_scrape
"(4) 3. ADDA, Ferdinando d' (1650-1719)","","",fiu_scrape
"(65) 1. DUGNANI, Antonio (1748-1818)",2,1,fiu_scrape
"(23) 4. BONSI, Jean de (1554-1621)","","",fiu_scrape
"(8) 5. LUXEMBOURG, Louis de (1390/1397-1443)",>1,>1,fiu_scrape
"(63) 8. RODT, Franz Konrad Kasimir Ignaz von (1706-1775)","","",fiu_scrape
"(41) 3. CARPEGNA, Ulderico (1595-1679)","","",fiu_scrape
"(21) 6. LEBRÚN MORATINOS, José Alí",5,1,
"(43) 4. ROCHA, Sérgio da","","",fiu_scrape
"(26) 7. SUÁREZ INDA, Alberto",11,11,fiu_scrape
"(27) 1. PICO DELLA MIRANDOLA, Lodovico (1668-1743)",9,8,fiu_scrape
"(77) 15. BETORI, Giuseppe",4,2,
"(61) 3. SPINOLA, Giorgio (1667-1739)","","",fiu_scrape
"(39) 4. MORAN, Francis Patrick",5,,
"(1) 1. CIBO DE' MARI, Lorenzo (1450/1451-1503)","","",fiu_scrape
"(5) 1. MAZOWIECKI, Aleksander (1400-1444)","",>1,fiu_scrape
"(22) 19. CARACCIOLO, Giovanni Costanzo (1715-1780)",14,14,fiu_scrape
"(12) 12. CARBONE, Guglielmo (?-1418)",>1,"",fiu_scrape
"(2) 2. FALCONIERI, Alessandro (1657-1734)","","",fiu_scrape
"(40) 1. MORONE, Giovanni Girolamo (1509-1580)","","",fiu_scrape
"(35) 16. PIMIENTO RODRÍGUEZ, José de Jesús","","",fiu_scrape
"(21) 1. GONDI DE RETZ, Jean-François-Paul de (1613-1679)","","",fiu_scrape
"(66) 4. GARCÍA RODRÍGUEZ, Juan de la Caridad",6,1,fiu_scrape
"(182) 23. RODRÍGUEZ MARADIAGA, S.D.B., Óscar Andrés",4,3,
"(24) 2. GAMBA, Giuseppe",3,1,
"(51) 12. CANALI, Saverio (1695-1773)","",>1,fiu_scrape
"(159) 22. PUJATS, Jānis",8,,
"(48) 9. PIAT, C.S.Sp., Maurice",>1,>1,fiu_scrape
"(15) 15. QUEVEDO, O.M.I., Orlando Beltran",4,4,fiu_scrape
"(2) 2. BORROMEO, Carlo (1538-1584)",6,3,fiu_scrape
"(7) 4. ACCIAIOLI, Filippo (1700-1766)",6,3,fiu_scrape
"(14) 1. ALTIERI, Lorenzo (1671-1741)",>3,2,fiu_scrape
"(41) 4. TEMPI, Luca Melchiore (1688-1762)",4,3,fiu_scrape
"(13) 10. LUSIGNAN, Hugues de (1380/1385-1442)",12,5,fiu_scrape
"(5) 5. GUIDOBONO CAVALCHINI, Carlo Alberto (1683-1774)","","",fiu_scrape
"(81) 19. MUREŞAN, Lucian",12,10,fiu_scrape
"(32) 3. LORRAINE-VAUDÉMONT, Charles III de (1567-1607)",9,2,fiu_scrape
"(122) 5. FRANCICA-NAVA DI BONTIFÈ, Giuseppe",,,
"(32) 1. CAPECE ZURLO, Theat., Giuseppe Maria (1711-1801)",6,6,fiu_scrape
"(33) 19. SFORZA, Francesco (1562-1624)","","",fiu_scrape
"(17) 17. COLONNA DI SCIARRA, Prospero (1707-1765)",,,
"(82) 20. RIES, Julien","","",fiu_scrape
"(10) 2. PICCOLOMINI, Giovanni (1475-1537)",6,2,fiu_scrape
"(87) 12. CANTALAMESSA, O.F.M.Cap., Raniero",2,"",fiu_scrape
"(86) 1. SODANO, Angelo",6,2,
"(21) 3. FRANKENBERG, Johann Heinrich von (1726-1804)","","",fiu_scrape
"(219) 18. TURKSON, Peter Kodwo Appiah",10,4,
"(45) 10. DELFINO, Giovanni (1545-1622)",6,2,fiu_scrape
"(11) 7. CORNARO, iuniore, Federico (1579-1653)",11,1,fiu_scrape
"(4) 3. CASONI, Lorenzo (1645-1720)","","",fiu_scrape
"(26) 2. ISVALIES, Pietro (?-1511)","","",fiu_scrape
"(87) 33. DANIÉLOU, S.J., Jean",,,
"(3) 2. MAGALOTTI, Lorenzo (1584-1637)","","",fiu_scrape
"(63) 12. CANALI, Nicola",3,2,
"(43) 5. BALDELLI, Fortunato",7,,
"(55) 14. DE GREGORIO, Emmanuele (1758-1839)",7,4,
"(39) 5. COLONNA, Nicola (1730-1796)",7,4,fiu_scrape
"(15) 11. ÁVILA MÚXICA, Francisco de (1548?-1606)",>1,"",fiu_scrape
"(18) 3. PIERI, O.S.M., Pietro Maria (1676-1743)","","",fiu_scrape
"(29) 11. CELSI, Angelo (1600-1671)","","",fiu_scrape
"(43) 6. ENRIQUEZ, Enrico (1701-1756)",2,2,fiu_scrape
"(9) 7. ARCIMBOLDO, Giovanni (Toward the end of 1426-1488)",3,"",fiu_scrape
"(14) 10. BIANCHETTI, Lorenzo (1545-1612)",>1,"",fiu_scrape
"(1) 1. ANTONELLI, Leonardo (1730-1811)",3,3,fiu_scrape
"(45) 7. FRANCIOTTI, Marcantonio (1592-1666)","",2,fiu_scrape
"(15) 12. FANTUZZI, Gaetano (1708-1778)",4,>1,fiu_scrape
"(18) 18. SEBASTIÁN AGUILAR, C.M.F., Fernando","","",fiu_scrape
"(1) 1. FONSECA, Pedro (second half of the 14th century-1422)","","",fiu_scrape
"(33) 10. SFORZA, Alessandro (1534-1581)",>1,"",fiu_scrape
"(134) 27. TONINI, Ersilio",5,3,
"(54) 2. LORENZANA Y BUTRÓN, Francisco Antonio de (1722-1804)",>1,"",fiu_scrape
"(96) 2. SANCHA Y HERVÁS, Ciriaco María",7,,
"(23) 20. PERELLI, Niccolò (1696-1772)","","",fiu_scrape
"(167) 8. MEJÍA, Jorge María",5,2,
"(31) 1. ANTAMORI, Paolo Francesco (1712-1795)","","",fiu_scrape
"(72) 1. RUFFO-SCILLA, Fulco Luigi",4,3,
"(33) 8. ROHAN-GUÉMÉNÉE-MONTBAZON, Louis-César-Constantin de (1697-1779)",13,7,fiu_scrape
"(16) 1. ALDROVANDI, Pompeio (1668-1752)",4,2,fiu_scrape
"(24) 10. VALIER, Agostino (1531-1606)",4,1,fiu_scrape
"AZZOLINI, Lorenzo (1583-1632)","","",fiu_scrape
"(20) 1. MAMBERTI, Dominique",1,1,fiu_scrape
"(7) 7. LACROIX, of the Secular Institute Pius X, Gérald Cyprien",7,1,fiu_scrape
"(96) 11. ANGELINI, Fiorenzo",4,3,
"(6) 3. CASTIGLIONE, Giovanni (1420-1460)",5,1,fiu_scrape
"(63) 3. PORTUGAL, Henrique de (1512-1580)",8,5,fiu_scrape
"(34) 1. COLONNA, Prospero (1672-1743)",7,2,fiu_scrape
"(142) 5. STAFFORD, James Francis",1,1,
"(17) 17. CAPOVILLA, Loris Francesco",2,"",fiu_scrape
"(30) 15. GLEMP, Józef",4,,
"(36) 3. ARINZE, Francis",7,3,
"(61) 28. PAVAN, Pietro",10,3,
"(32) 1. SCHUSTER, O.S.B., Alfredo Ildefonso",2,,
"(17) 1. JIMÉNEZ DE CISNEROS, O.F.M.Obs., Francisco (1447?-1517)",>2,"",fiu_scrape
"(12) 4. LAMBERTINI, Prospero Lorenzo (1675-1758)","","",fiu_scrape
"(18) 1. GARA DELLA ROVERE, Sisto (1473-1517)","","",fiu_scrape
"(14) 14. DERY, Peter Poreku",10,4,
(1752-1829),7,3,
"(2) 1. PÉREZ CALVILLO, Fernando (second third of the 14th century-1404)","","",fiu_scrape
"(6) 5. FIESCHI, Lorenzo (1642-1726)","","",fiu_scrape
"(43) 2. D'AQUINO, Ladislao (1543-1621)",9,2,fiu_scrape
"(70) 9. TSARAHAZANA, Désiré","","",fiu_scrape
"(148) 11. TETTAMANZI, Dionigi",3,,
"(19) 7. ARAGÓN, Antonio de (1616-1650)","",7,fiu_scrape
"(53) 20. WETTER, Friedrich",3,3,
"(12) 11. ALBANI, Gianfrancesco (1649-1721)","","",fiu_scrape
"(21) 3. KOT Z DĘBNA, Wincenty (ca. 1395-1448)","","",fiu_scrape
"(16) 12. NIÑO DE GUEVARA, Fernando (1541-1609)",4,3,fiu_scrape
"(2) 1. ESPINOSA Y ARÉVALO, Diego (1502-1572)",4,"",fiu_scrape
(1639-1709),"","",fiu_scrape
"(7) 7. CAÑIZARES LLOVERA, Antonio","",3,fiu_scrape
"(4) 3. MASSEI, Bartolomeo (1663-1745)",3,3,fiu_scrape
"(36) 2. DORIA PAMPHILJ, Giuseppe Maria (1751-1816)",3,3,fiu_scrape
"(33) 17. DENHOFF, Jan Kazimierz (1649-1697)",5,"",fiu_scrape
"(46) 1. MACCHIAVELLI, Francesco Maria (1608-1653)",7,2,fiu_scrape
"(23) 9. SALVIATI, Antonmaria (1537-1602)",4,>1,fiu_scrape
"(52) 15. LIVIZZANI, Giuseppe (1688-1754)",6,6,fiu_scrape
"(6) 1. SANSEVERINO, O.S.Io.Hieros., Antonio (ca. 1477-1543)",5,4,fiu_scrape
"(49) 2. ROJAS de SANDOVAL, Francisco Gómez (1553-1625)","","",fiu_scrape
"(15) 15. VILLOT, Jean",1,1,
"(68) 7. MARTO, António Augusto dos Santos","","",fiu_scrape
"(84) 30. WILLEBRANDS, Johannes",9,1,
"(8) 4. BANDINI, Ottavio (1558-1629)",12,4,fiu_scrape
"(3) 3. CHIGI, Sigismondo (1649-1678)","","",fiu_scrape
"(11) 2. LA ROCHEFOUCALD, François de (1558-1645)",4,2,fiu_scrape
(1642-1707),2,2,fiu_scrape
"(45) 6. D'ROZARIO, C.S.C., Patrick",8,8,fiu_scrape
"(3) 3. MOERS, Walram von (1393-1456)",>2,"",fiu_scrape
"PALLAVICINI, Lazzaro (1686-1744)",7,2,fiu_scrape
"(33) 8. CÂMARA, José Manoel da (1685-1758)","","",fiu_scrape
"(10) 7. CASONI, Filippo (1733-1811)",2,1,
"(9) 5. ZACCHIA, Laudivio (1565-1637)","","",fiu_scrape
"(25) 4. BEATON, David (1494-1546)",11,3,fiu_scrape
"(45) 1. ERBA-ODESCALCHI, Benedetto (1679-1740)",5,"",fiu_scrape
"(35) 3. LAVITRANO, Luigi",>1,,
"(6) 6. RICARD, Jean-Pierre","","",fiu_scrape
"(6) 1. BOXADORS, O.P., Juan Tomás de (1703-1780)",11,10,fiu_scrape
"(24) 3. BORJA LANZOL DE ROMANÍ, O.S.Io.Hieros., Pedro Luis (1472-1511)",8,3,fiu_scrape
"(18) 14. MANTICA, Francesco (1534-1614)","","",fiu_scrape
"(6) 6. LIECHTENSTEIN-NICOLSBURG, Georg von (ca. 1360-1419)",>3,>3,fiu_scrape
"(12) 11. SACHSEN-ZEITZ, Christian August von (1666-1725)",12,8,fiu_scrape
"(25) 10. LÓPEZ TRUJILLO, Alfonso",>2,,
"(220) 19. TOPPO, Telesphore Placidus",10,8,
"(38) 1. BUFALINI, Giovanni Ottavio (1709-1782)",3,3,fiu_scrape
"(11) 4. CUEVA-BENAVIDES Y MENDOZA-CARRILLO, Alfonso de la (1574-1655)","","",fiu_scrape
"(116) 9. SUÁREZ RIVERA, Adolfo Antonio",6,,
"(9) 8. BICHI, Carlo (1639-1718)","","",fiu_scrape
"(44) 18. POLIGNAC, Melchior de (1661-1741)","","",fiu_scrape
"(33) 9. CORNARO, Marco (1482-1524)",11,3,fiu_scrape
"(16) 1. CRAMAUD, Simon de (ca. 1345-1422)",3,2,fiu_scrape
(1633-1710),"","",fiu_scrape
"(18) 8. ALTIERI, Vincenzo Maria (1724-1800)",8,3,fiu_scrape
"(52) 13. VETERANI, Benedetto (1703-1776)",6,1,fiu_scrape
"(7) 7. DELLA ROVERE, O.F.M.Conv., Francesco (1414-1484)","","",fiu_scrape
"(31) 6. TROYER, Ferdinand Julius (1698-1758)","","",fiu_scrape
"(46) 5. PRIULI, Matteo (1577-1624)",5,1,fiu_scrape
"(29) 21. NUMAI, O.F.M.Obs., Cristoforo (mid-fifteenth century-1528)",>4,>1,fiu_scrape
"(17) 2. CENCI, Serafino (1676-1740)",6,3,fiu_scrape
"(9) 9. STRITCH, Samuel Alphonse",8,,
"(3) 3. BORJA Y BORJA, Rodrigo de (1430/1432-1503)","","",fiu_scrape
"(12) 11. JAGIELLOŃCZYK, Fryderyk (1468-1503)",13,9,fiu_scrape
"(9) 3. CARDONA I DE ARAGÓN, Jaime Francisco de (ca. 1405-1466)","","",fiu_scrape
"(9) 7. CARACCIOLO, Marino Ascanio (1468-1538)",10,2,fiu_scrape
"(29) 3. CUSANI, Agostino (1655-1730)","","",fiu_scrape
"(40) 1. CALINI, Ludovico (1696-1782)",8,5,fiu_scrape
"(48) 15. DESKUR, Andrzej Maria",5,,
(1636-1704),"","",fiu_scrape
"(62) 7. POTIER DE GESVRES, Étienne-René (1697-1774)","","",fiu_scrape
"(30) 15. ROBLES ORTEGA, Francisco",16,3,
"(9) 5. ALIDOSI, Francesco (ca. 1455/1460-1511)","",3,fiu_scrape
"(58) 20. MARX, Reinhard",3,2,
"(12) 3. CASANATE, Girolamo (1620-1700)","","",fiu_scrape
"(17) 14. SZÉCSI, Dénes (1400-1465)",8,6,fiu_scrape
"(40) 14. TOMASI DI LAMPEDUSA, Theat., Giuseppe Maria (1649-1713)",6,1,fiu_scrape
"(21) 1. BORBÓN Y FARNESIO, Luis Antonio Jaime de (1727-1785)",7,6,fiu_scrape
"(26) 1. ALBANI, Annibale (1682-1751)","","",fiu_scrape
"(71) 14. RONDININI, Paolo Emilio (1617-1668)","","",fiu_scrape
"(23) 2. MEDICI, Ferdinando de' (1549-1609)",>1,"",fiu_scrape
"(10) 6. ESCARS DE GIVRY, O.S.B., Anne d' (1546-1612)","","",fiu_scrape
"(36) 28. RANGONE, Ercole (ca. 1491-1527)","",6,fiu_scrape
"(4) 3. COËTIVY, Alain de (1407--1474)","","",fiu_scrape
"(194) 35. EGAN, Edward Michael",4,3,https://en.wikipedia.org/wiki/Edward_Egan
"(17) 3. CAMBOUT, Pierre de (1636-1706)","",>1,fiu_scrape
"(1) 1. DELLA ROVERE, Domenico (1442-1501)","","",fiu_scrape
"(26) 1. CÓRDOBA ESPÍNOLA DE LA CERDA, Buenaventura de (1724-1777)",7,5,fiu_scrape
"(22) 1. BEVILACQUA, Bonifazio (1571-1627)",8,5,fiu_scrape
"(47) 4. FOSSATI, O.Ss.C.G.N., Maurilio",10,,
"(11) 11. CAFFARRA, Carlo",4,,
"(11) 2. GASTALDI, Girolamo (1616-1685)","","",fiu_scrape
"(18) 4. MARGOTTI, Lanfranco (1559-1611)",>4,"",fiu_scrape
"(66) 5. KRAJEWSKI, Konrad",2,2,fiu_scrape
"(34) 1. SPADA, Giambattista (1597-1675)","","",fiu_scrape
"(4) 3. FARNESE, Odoardo (1573-1626)",3,3,fiu_scrape
"(18) 1. GATTINARA, Mercurino Arborio di (1465-1530)",7,"",fiu_scrape
"(34) 8. CORRADINI, Pier Marcellino (1658-1743)","","",fiu_scrape
"(4) 1. AUSTRIA, Albrecht von (1559-1621)",>2,"",fiu_scrape
"(28) 28. PREYSING, Konrad von",>2,,
"(3) 1. CIOCCHI DEL MONTE, Cristoforo Guidalotti (1484-1564)",6,"",fiu_scrape
"(17) 6. BARBERINI, Benedetto (1788-1863)",10,10,
"(39) 4. SPINELLI, Filippo (1566-1616)",5,1,fiu_scrape
"(48) 1. THIARD DE BISSY, Henri-Pons de (1657-1737)","","",fiu_scrape
"(8) 8. NEWMAN, Orat., John Henry",6,1,
"(40) 5. CRISTOFORI, Carlo",,,
"(11) 2. LÉNONCOURT, Philippe de (1527-1592)",>1,"",fiu_scrape
"(29) 2. LA BAUME, Pierre de (1477-1544)","",>1,fiu_scrape
"(20) 17. ANTONELLI, Niccolò Maria (1698-1767)",3,2,fiu_scrape
"(58) 2. OMELLA OMELLA, Juan José",3,"",fiu_scrape
"(56) 17. SIMONI, Ernest","","",fiu_scrape
"(5) 5. CACCIA, Federico (1635-1699)","","",fiu_scrape
"(2) 2. CONDULMER, Can. Reg. of Saint Augustine of S. Giorgio in Alga, Gabriele (ca. 1383-1447)",4,"",fiu_scrape
"(40) 10. ORSINI, Alessandro (1592-1626)",11,11,fiu_scrape
